ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb370126867		Stupéfiant ! / dir., Michel Sitbon				fre ; français				Sitbon, Michel (1958-....). Directeur de publication	Éd. du Lézard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb370126867
ark:/12148/cb37583286p		Famille Daël : fiches généalogiques / par Christophe Yernaux				fre ; français			Yernaux, Christophe. Auteur du texte		Groupement généalogique de la région du Nord (Roubaix)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	 ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb37583286p
ark:/12148/cb375827368		[Mémento 2001] (Éd. 2001, à jour au 15-01-2001) 		Collection : Les mémentos PM&T		fre ; français					Patrimoine management & technologies (Boulogne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb375827368
ark:/12148/cb371271168		Triptyque sanglant				fre ; français					Hexagonal (Drancy)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb371271168
ark:/12148/cb400180865		Chants d'exil / Patrice Cambronne				fre ; français			Cambronne, Patrice (1937-....). Auteur du texte		William Blake and co.-Art & arts (Bordeaux)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb400180865
ark:/12148/cb40164246q		Les héritiers de Lyoncrest / Ruth Jean Dale		Collection : Émotions		fre ; français					Harlequin (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	17 cm	http://catalogue.bnf.fr/ark:/12148/cb40164246q
ark:/12148/cb42500136w		Monette de Provence / Simone Guigue				fre ; français			Guigue, Simone (1935-....). Auteur du texte		S. Guigue (Champtercier)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2008	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb42500136w
ark:/12148/cb343461976		Nocturnes / [photogr. par] Michel Séméniako				fre ; français			Séméniako, Michel (1944-....). Auteur du texte		Marval (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	Tout en ill. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb343461976
ark:/12148/cb34346537f		Docteur Psy / textes et dessins de Dirick				fre ; français			Dirick, Jean-Pierre (1949-....). Auteur du texte		SIDES (Les Ulis)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb34346537f
ark:/12148/cb365930370		Mémoires / Jacques Isorni				fre ; français			Isorni, Jacques (1911-1995). Auteur du texte		R. Laffont (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1984	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb365930370
ark:/12148/cb343310171		Dzieła wybrane / Melchior Wańkowicz				pol ; polonais			Wańkowicz, Melchior (1892-1974). Auteur du texte		Instytut wydawniczy Pax (Warszawa) ; Wydawnictwo Literackie (Warszawa)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1984	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb343310171
ark:/12148/cb40016587d		Promesse d'amour / [texte par Jean Villeminot]				fre ; français			Villeminot, Jean (1946-....). Auteur du texte		Droguet & Ardant-EDIFA (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb40016587d
ark:/12148/cb41275037z		Tout l'univers : l'encyclopédie de l'âge scolaire				fre ; français					le Livre de Paris-Hachette (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	29 cm	http://catalogue.bnf.fr/ark:/12148/cb41275037z ; ISBN 2245011848
ark:/12148/cb42495827r		Cahiers généalogiques de la prévôté d'Amance, en Lorraine / Olivier Eyraud				fre ; français			Eyraud, Olivier (1970-....). Auteur du texte		D. E. éd. (Nancy)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2011	texte imprimé ; printed text ; text	27 cm	http://catalogue.bnf.fr/ark:/12148/cb42495827r
ark:/12148/cb343436688		Les aventures de Mara / Serge Diantantu				fre ; français			Diantantu, Serge (1962-....). Auteur du texte		Paris exotic (Sarcelles)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	Ill. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb343436688
ark:/12148/cb34312848b		La Face cachée du cerveau / Dominique Aubier				fre ; français			Aubier, Dominique (1922-2014). Auteur du texte		Séveyrat (La Varenne-Saint-Hilaire)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb34312848b
ark:/12148/cb34312618v		Thérapeutique (Nouv. éd.) 				fre ; français					Specia (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1987	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb34312618v
ark:/12148/cb343455287		Esquisse au soleil / Olivier Amet				fre ; français			Amet, Olivier (1969-....). Auteur du texte		O. Amet (Theza)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb343455287 ; ISBN 2911397045
ark:/12148/cb343130084		Les Dossiers freudiens / Elmer Gansl				fre ; français			Gansl, Elmer. Auteur du texte		Éd. ELGA (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	Ill., couv. ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb343130084
ark:/12148/cb34347898q		La liberté d'opinion et de conscience en droit comparé du travail : Union européenne / Georges Dole				fre ; français			Dole, Georges (1926-2019). Auteur du texte		LGDJ (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb34347898q
ark:/12148/cb37583148v		Les super-réseaux / Bruno Moret, Karl Gebele, Christian Kirchner... [et al.]		Collection : Le train Sup-archives		fre ; français					Éd. Publitrains (Betschdorf)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb37583148v
ark:/12148/cb420556281		Le bar de la marée / par Pépito				fre ; français			Pépito (1958-....). Auteur du texte		le Toro parlékorn (Tinténiac)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul. ; 14 cm	http://catalogue.bnf.fr/ark:/12148/cb420556281
ark:/12148/cb427995789		Habilitation électrique selon la Norme NF C 18-510 / Adrien Bro		Collection : Guides électricité industrielle		fre ; français			Bro, Adrien (1987-....). Auteur du texte			Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2012	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb427995789
ark:/12148/cb42375838t		Gospel vision académie / Franck Alexandre				fre ; français			Alexandre, Franck (1967-....). Auteur du texte		Association Gospel-Vision international (Saint-Julien-les-Villas)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2011	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb42375838t
ark:/12148/cb34301589n		Cancérologie et nursing				fre ; français					Centre de lutte contre le cancer Léon-Bérard (Lyon)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1982	texte imprimé ; printed text ; text	Ill. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb34301589n
ark:/12148/cb34342859m		La semaine anglaise / Pascal Lainé				fre ; français			Lainé, Pascal (1942-....). Auteur du texte		le Grand livre du mois (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb34342859m
ark:/12148/cb37583169t		"De profundis clamavi" / J. L. B. Moynet				fre ; français			Moynet, J. L. B.. Auteur du texte		Ressouvenances (Coeuvres)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb37583169t
ark:/12148/cb365943194		Le stade rennais : fleuron du football breton / Claude Loire				fre ; français			Loire, Claude (1935-....). Auteur du texte		Apogée (Rennes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb365943194
ark:/12148/cb36946879h		Rayures, tradition et modernité				fre ; français					Musée de l'Hôtel-Dieu (Mantes-la-Jolie)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	2 vol. (63, p.) : ill. en coul., couv. ill. en coul. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb36946879h
ark:/12148/cb34337859m		J'ai osé raconter ma vie / Jean Le Bon				fre ; français			Le Bon, Jean (1945-....). Auteur du texte		la Pensée universelle (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb34337859m
ark:/12148/cb389759992		Bizarreries de langage / Maryz Courberand				fre ; français			Courberand, Maryz. Auteur du texte		Mots et Cie (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2002	texte imprimé ; printed text ; text	19 cm	http://catalogue.bnf.fr/ark:/12148/cb389759992
ark:/12148/cb37136439q		Croquis du monde / Pierre Croux				fre ; français			Croux, Pierre (1936-....). Auteur du texte		[Arts en voyage]-P. Croux (Lourmarin)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	Ill. en noir et en coul. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb37136439q
ark:/12148/cb410406990		Bush connection / Frank Drumel				fre ; français			Drumel, Frank (1980-....). Auteur du texte		Éd. Amalthée (Nantes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2007	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb410406990
ark:/12148/cb42288919k		La face cachée de la monnaie / [rédigé par l'Association JournArles]				fre ; français			JournArles. Auteur du texte		Y. Michel (Gap)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2008	texte imprimé ; printed text ; text	Ill. ; 15 cm	http://catalogue.bnf.fr/ark:/12148/cb42288919k
ark:/12148/cb343095407		Hommes et structures du Moyen âge / Georges Duby				fre ; français			Duby, Georges (1919-1996). Auteur du texte		Flammarion (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb343095407
ark:/12148/cb38839250r		DECF, corrigés du manuel		Collection : Expert sup		fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2002	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb38839250r
ark:/12148/cb37136150d		L'hermayeutique d'entreprise / Dominique Hanquiez		Collection : Collection Les clés de l'hermayeutique		fre ; français			Hanquiez, Dominique. Auteur du texte		Centre international de ressources humaines appliquées (Villeneuve d'Ascq)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb37136150d
ark:/12148/cb37012500d		La théorie économique néoclassique / Bernard Guerrien		Collection : Repères		fre ; français			Guerrien, Bernard. Auteur du texte		la Découverte (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb37012500d
ark:/12148/cb36946550z		Droite et gauche, tradition et révolution / Jacques du Perron				fre ; français			Du Perron, Jacques. Auteur du texte		Pardès (Puiseaux)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb36946550z
ark:/12148/cb43540980j		Rose mafia / Gérard Dalongeville				fre ; français			Dalongeville, Gérard (1970-....). Auteur du texte		Jacob-Duvernet (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2012	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 22 cm	http://catalogue.bnf.fr/ark:/12148/cb43540980j
ark:/12148/cb409305408		Mortelles connivences / André Delauré		Collection : Calmann-Lévy suspense		fre ; français			Delauré, André (1946-....). Auteur du texte		Calmann-Lévy (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb409305408
ark:/12148/cb40107960p		Anthologie de poèmes de Confluences poétiques				fre ; français			Confluences poétiques (Paris). Auteur du texte		le Temps des cerises (Pantin)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog		texte imprimé ; printed text ; text	17 cm	http://catalogue.bnf.fr/ark:/12148/cb40107960p
